name,State Code,Offense Month,Situation,Age of Victim,Sex of Victim,Age of Offender,Sex of Offender,Weapon used by Offender,Relationship of Victim to Offender,Circumstances
1,2,1,A,32,F,34,M,12,GF,45
2,2,1,A,1,F,26,M,30,ST,26
3,2,1,A,46,F,59,F,90,DA,60
4,4,1,A,31,F,41,M,12,ST,3
5,4,1,A,9,F,22,M,11,ST,26
6,4,1,A,0.5,F,30,M,90,DA,60
7,4,1,A,47,F,25,M,20,OK,45
8,4,1,A,72,F,74,M,12,WI,45
9,4,1,A,50,F,44,M,20,GF,45
10,4,1,A,64,F,59,M,12,WI,45
11,4,1,A,23,F,24,M,12,GF,53
12,4,1,A,58,F,28,M,20,ST,99
13,4,1,A,14,F,20,M,11,FR,26
14,4,1,A,59,F,63,M,11,GF,26
15,4,1,A,42,F,54,M,11,WI,45
16,5,1,A,61,F,42,M,40,GF,45
17,5,1,A,37,F,47,M,14,WI,45
18,5,1,A,25,F,56,M,20,GF,45
19,7,1,A,35,F,32,M,30,WI,99
20,10,1,A,60,F,48,M,12,GF,26
21,10,1,A,54,F,0,M,30,AQ,45
22,10,1,A,44,F,40,M,12,GF,40
23,10,1,A,22,F,27,M,12,GF,45
24,10,1,A,22,F,22,F,12,HO,60
25,11,1,A,47,F,29,M,12,UN,99
26,11,1,A,51,F,29,M,12,MO,99
27,12,1,A,46,F,44,M,90,WI,45
28,12,1,A,54,F,26,M,20,MO,45
29,12,1,A,27,F,23,F,20,AQ,45
30,13,1,A,43,F,49,M,12,GF,45
31,13,1,A,52,F,49,M,20,SI,45
32,14,1,A,0.5,F,20,M,40,DA,60
33,15,1,A,22,F,24,M,11,IL,99
34,15,1,A,23,F,22,M,12,GF,99
35,15,1,A,2,F,33,M,40,OK,60
36,16,1,A,37,F,18,M,12,AQ,99
37,16,1,A,26,F,27,M,90,GF,60
38,16,1,A,55,F,53,M,12,GF,99
39,16,1,A,65,F,65,M,12,WI,60
40,16,1,A,38,F,40,M,13,WI,99
41,16,1,A,22,F,25,M,90,AQ,42
42,16,1,A,37,F,18,M,12,AQ,42
43,16,1,A,29,F,44,M,14,GF,45
44,17,1,A,22,F,30,M,20,GF,26
45,17,1,A,30,F,25,M,12,UN,10
46,17,1,A,25,F,0,M,12,UN,99
47,17,1,A,28,F,62,M,14,SD,60
48,18,1,A,52,F,52,M,12,WI,40
49,19,1,A,39,F,53,M,30,IL,45
50,20,1,A,30,F,40,M,11,OK,99
51,20,1,A,33,F,28,M,90,GF,6
52,20,1,A,72,F,49,M,20,MO,60
53,20,1,A,40,F,21,M,40,UN,99
54,21,1,A,48,F,66,M,40,WI,45
55,21,1,A,42,F,45,M,90,UN,99
56,21,1,A,45,F,65,M,12,WI,99
57,21,1,A,21,F,21,M,11,GF,99
58,21,1,A,44,F,41,M,90,ST,99
59,21,1,A,22,F,23,M,90,AQ,99
60,21,1,A,46,F,44,M,90,GF,99
61,21,1,A,26,F,32,M,11,UN,99
62,21,1,A,49,F,49,M,20,GF,45
63,23,1,A,21,F,19,F,90,UN,99
64,24,1,A,36,F,45,M,90,UN,99
65,24,1,A,31,F,49,M,12,GF,45
66,27,1,A,54,F,24,M,20,ST,17
67,27,1,A,46,F,50,M,11,WI,60
68,27,1,A,0.5,F,23,M,40,DA,26
69,29,1,A,25,F,27,M,30,GF,45
70,29,1,A,0.05,F,22,F,65,DA,26
71,29,1,A,21,F,21,M,12,ST,45
72,29,1,A,37,F,38,M,12,GF,60
73,29,1,A,28,F,34,M,12,AQ,45
74,30,1,A,45,F,46,M,11,GF,45
75,30,1,A,45,F,46,M,11,GF,45
76,30,1,A,24,F,23,M,20,GF,45
77,31,1,A,0.5,F,40,F,40,DA,60
78,31,1,A,20,F,31,F,20,HO,45
79,31,1,A,26,F,29,M,12,GF,60
80,31,1,A,87,F,48,M,30,OK,45
81,31,1,A,58,F,43,M,20,UN,45
